uid,id,titlte,bigpics,xiaotu,price1,price2,kucun
1,1,[支持自提] NEW LOOK  春夏时尚修身V领性感连衣裙女 3859698,http://img2.aolaigo.com//group1/M00/2C/9D/CggUFlms_dqAEhCVAAGNX03PW3A817=220x260.jpg,"http://img2.aolaigo.com//group1/M00/2C/9D/CggUFlms_dqAEhCVAAGNX03PW3A817=35x35.jpg,http://img5.aolaigo.com//group1/M00/2C/9C/CggUF1ms_duAdC61AAOPvXUu1zQ811=35x35.jpg,http://img1.aolaigo.com//group1/M00/2C/9C/CggUF1ms_duAI1vtAALXBB5TCEA616=35x35.jpg,http://img1.aolaigo.com//group1/M00/2C/9D/CggUFlms_duAAjmrAAJsmAjpQzM849=35x35.jpg，http://img1.aolaigo.com//group1/M00/2C/9C/CggUF1ms_duAI1vtAALXBB5TCEA616=35x35.jpg,http://img1.aolaigo.com//group1/M00/2C/9D/CggUFlms_duAAjmrAAJsmAjpQzM849=35x35.jpg",￥99.00,￥249.00,7
2,2,[支持深圳自提] 拉夏贝尔女装  小香风高腰针织女连衣裙,http://img4.aolaigo.com//group1/M00/50/48/CggUF12RppaASir7AAXh0-SFXcg610=220x260.jpg,http://img4.aolaigo.com//group1/M00/50/48/CggUF12RppaASir7AAXh0-SFXcg610=220x260.jpg,￥171.60,￥429.00,3
3,3,[支持自提] NEW LOOK  新品女士时尚无袖连衣裙 3837252,http://img1.aolaigo.com//group1/M00/2D/3E/CggUFlm48r2AEjohAALrtCx5kg8435=220x260.JPG,"http://img1.aolaigo.com//group1/M00/2D/3E/CggUFlm48r2AEjohAALrtCx5kg8435=35x35.JPG,http://img4.aolaigo.com//group1/M00/2D/3C/CggUF1m48sOAbyb_AAbkxw_tIbY479=35x35.JPG,http://img2.aolaigo.com//group1/M00/2D/3C/CggUF1m48sOAGRxFAAX-EJwpjHk964=35x35.JPG,http://img1.aolaigo.com//group1/M00/2D/3E/CggUFlm48r2AEjohAALrtCx5kg8435=35x35.JPG,http://img2.aolaigo.com//group1/M00/2D/3C/CggUF1m48sOAGRxFAAX-EJwpjHk964=35x35.JPG,http://img1.aolaigo.com//group1/M00/2D/3E/CggUFlm48r2AEjohAALrtCx5kg8435=35x35.JPG",￥169.00,￥399.00,75
4,4,[支持自提] NEW LOOK  女士时尚简约无袖格子连衣裙,http://img1.aolaigo.com//group1/M00/1F/43/CggUF1j-vBqAbY84AAgvFVWWTqI555=220x260.JPG,"http://img1.aolaigo.com//group1/M00/1F/44/CggUFlj-vBmAbtE-AARFNneR6qA258=35x35.JPG,http://img3.aolaigo.com//group1/M00/1F/43/CggUF1j-vBqAbY84AAgvFVWWTqI555=35x35.JPG,http://img1.aolaigo.com//group1/M00/1F/44/CggUFlj-vBmAbtE-AARFNneR6qA258=35x35.JPG,http://img3.aolaigo.com//group1/M00/1F/43/CggUF1j-vBqAbY84AAgvFVWWTqI555=35x35.JPG,http://img1.aolaigo.com//group1/M00/1F/44/CggUFlj-vBmAbtE-AARFNneR6qA258=35x35.JPG",￥49.00,￥349.00,35
5,5,[支持深圳自提] LIFE·IDEA/莱芙·艾迪儿  无袖收腰背心裙,http://img2.aolaigo.com//group1/M00/4D/E2/CggUF10vzOKAe5ebAALNX4tYSnQ450=220x260.JPG,"http://img3.aolaigo.com//group1/M00/4D/E2/CggUF10vzOKAe5ebAALNX4tYSnQ450=35x35.JPG,http://img4.aolaigo.com//group1/M00/4D/E3/CggUFl0vzOmAb08KAATR2A0IwYI418=35x35.JPG,http://img4.aolaigo.com//group1/M00/4D/E2/CggUF10vzOqAOOZkAATpwcFlTNg564=35x35.JPG",￥650.00,"￥1,299.00",12
6,6,[支持深圳自提] 拉夏贝尔女装  秋冬季无袖短连衣裙,http://img4.aolaigo.com//group1/M00/50/45/CggUF12RnFyALWXaAAQzXrmu82Y653=220x260.jpg,"http://img3.aolaigo.com//group1/M00/50/45/CggUF12RnFyAbqr4AAS-KmSxGR0238=35x35.jpg,http://img4.aolaigo.com//group1/M00/50/45/CggUF12RnFyALWXaAAQzXrmu82Y653=35x35.jpg,http://img1.aolaigo.com//group1/M00/50/46/CggUFl2RnFyAX93VAAW6bi1DC_0302=35x35.jpg",￥159.60,￥399.00,4
7,7,[支持深圳自提] 拉夏贝尔女装  冬季收腰显瘦针织女款连衣裙,http://img5.aolaigo.com//group1/M00/50/17/CggUFl2LChOAbAjiAANAam6_hiE899=220x260.jpg,"http://img2.aolaigo.com//group1/M00/50/17/CggUFl2LChOAbAjiAANAam6_hiE899=35x35.jpg,http://img5.aolaigo.com//group1/M00/50/16/CggUF12LChOALjjBAASr0ayq-QM980=35x35.jpg,http://img2.aolaigo.com//group1/M00/50/17/CggUFl2LChOAbAjiAANAam6_hiE899=35x35.jpg",￥99.80,￥499.00,36
8,8,[支持深圳自提] Five Plus  女士连衣裙针织圆领长裙,http://img4.aolaigo.com//group1/M00/42/DD/CggUFluwmSOAKkQ4AArEmk4qN2c392=220x260.JPG,"http://img1.aolaigo.com//group1/M00/42/DB/CggUF1uwmSGAJjNGAAQDo_S7-G0579=35x35.JPG,http://img1.aolaigo.com//group1/M00/42/DD/CggUFluwmSOAKkQ4AArEmk4qN2c392=35x35.JPG,http://img1.aolaigo.com//group1/M00/42/DD/CggUFluwmSOAMS4RAAnkfRphNUk837=35x35.JPG,http://img1.aolaigo.com//group1/M00/42/DB/CggUF1uwmSGAJjNGAAQDo_S7-G0579=35x35.JPG,http://img1.aolaigo.com//group1/M00/42/DD/CggUFluwmSOAKkQ4AArEmk4qN2c392=35x35.JPG",￥299.00,￥899.00,33
9,9,[支持深圳自提] 丽莫  女士针织连衣裙无袖中长裙,http://img5.aolaigo.com//group1/M00/4F/C1/CggUFl18e5CABbR8AAI1iB3I2ck836=220x260.JPG,"http://img3.aolaigo.com//group1/M00/4F/C1/CggUFl18e5CABbR8AAI1iB3I2ck836=35x35.JPG,http://img1.aolaigo.com//group1/M00/4F/C1/CggUFl18e5SAGcGtAAXVOQfMI_A142=35x35.JPG",￥366.30,"￥1,465.00",1
10,10,[支持深圳自提] 拉夏贝尔女装  系带宽松泡泡袖毛织女连衣裙,http://img3.aolaigo.com//group1/M00/50/18/CggUFl2LDgKATTqLAATDviDgXS4995=220x260.jpg,"http://img4.aolaigo.com//group1/M00/50/18/CggUFl2LDgKATTqLAATDviDgXS4995=35x35.jpg,http://img4.aolaigo.com//group1/M00/50/17/CggUF12LDgGAezukAAQQwaRnY6g859=35x35.jpg",￥100.00,￥499.00,2
11,11,[支持自提] NEW LOOK  秋冬时尚修身露肩性感针织连衣裙,http://img5.aolaigo.com//group1/M00/44/BF/CggUFlvaYraARVcNAADYhs0AjOI265=220x260.jpg,"http://img5.aolaigo.com//group1/M00/44/BF/CggUFlvaYraARVcNAADYhs0AjOI265=35x35.jpg,http://img5.aolaigo.com//group1/M00/2C/9D/CggUF1mtBheAQmJPAAOcJ-UND5U928=35x35.jpg,http://img1.aolaigo.com//group1/M00/2C/9F/CggUFlmtBheAezWoAASjX9Rw0Ro894=35x35.jpg",￥129.00,￥399.00,95
12,12,[支持深圳自提] 丽莫  女士针织连衣裙无袖中长裙,http://img1.aolaigo.com//group1/M00/4F/C0/CggUF118e9-ACZhkAAHFHDmKHoU500=220x260.JPG,"http://img5.aolaigo.com//group1/M00/4F/C0/CggUF118e9-ACZhkAAHFHDmKHoU500=35x35.JPG,http://img3.aolaigo.com//group1/M00/4F/C0/CggUF118e9-AKCrJAAGTru2njes805=35x35.JPG,http://img4.aolaigo.com//group1/M00/4F/C0/CggUF118e-OAJhkSAAad8EMIlos912=35x35.JPG",￥698.80,"￥2,795.00",45
13,13,[支持深圳自提] LIFE·IDEA/莱芙·艾迪儿  女士新品针织两件套连衣裙,http://img5.aolaigo.com//group1/M00/36/57/CggUFlppMdWAfucXAAMEc3bNh5M774=220x260.JPG,"http://img4.aolaigo.com//group1/M00/36/57/CggUFlppMdWAfucXAAMEc3bNh5M774=35x35.JPG,http://img2.aolaigo.com//group1/M00/36/56/CggUF1ppMdWAdtIVAANAYdTGMVs449=35x35.JPG,http://img1.aolaigo.com//group1/M00/36/56/CggUF1ppMdWALoZkAALHleyAFME136=35x35.JPG",￥570.00,"￥1,899.00",34
14,14,[支持深圳自提] 播  新款H型简约高开叉圆领中长款雪纺连衣裙,http://img1.aolaigo.com//group1/M00/41/FD/CggUF1upw3-AZYwsAAWIMa_N3NY304=220x260.png,"http://img2.aolaigo.com//group1/M00/41/FE/CggUFlupw3-Ae10zAAOWXRWPx3s574=35x35.jpg,http://img4.aolaigo.com//group1/M00/41/FD/CggUF1upw3-APIs6AAOMervS0DU540=35x35.jpg,http://img4.aolaigo.com//group1/M00/41/FD/CggUF1upw3-AZYwsAAWIMa_N3NY304=35x35.png,http://img2.aolaigo.com//group1/M00/41/FE/CggUFlupw3-Ae10zAAOWXRWPx3s574=35x35.jpg,http://img4.aolaigo.com//group1/M00/41/FD/CggUF1upw3-APIs6AAOMervS0DU540=35x35.jpg",￥690.00,"￥1,380.00",6
15,15,[支持深圳自提] DILI迪骊  女士复古蕾丝长袖连衣裙,http://img5.aolaigo.com//group1/M00/50/4A/CggUF12RqIGAID7WAAVL-CUazsc252=220x260.JPG,"http://img1.aolaigo.com//group1/M00/50/4A/CggUF12RqIGAID7WAAVL-CUazsc252=35x35.JPG,http://img2.aolaigo.com//group1/M00/50/4A/CggUF12RqIOAPifhAAwB00UdX9Y641=35x35.JPG,http://img1.aolaigo.com//group1/M00/50/4A/CggUF12RqIGAID7WAAVL-CUazsc252=35x35.JPG,http://img2.aolaigo.com//group1/M00/50/4A/CggUF12RqIOAPifhAAwB00UdX9Y641=35x35.JPG",￥640.00,"￥1,280.00",8
16,16,[支持深圳自提] Distin Kidny 迪斯廷·凯  女士时尚连衣裙两件套,http://img1.aolaigo.com//group1/M00/32/09/CggUF1oGsIGAbc4EAAEsR_DSGbM993=220x260.JPG,"http://img3.aolaigo.com//group1/M00/32/09/CggUF1oGsIGAbc4EAAEsR_DSGbM993=35x35.JPG,http://img2.aolaigo.com//group1/M00/32/0A/CggUFloGsIiAfWzIAALn_YSWh70975=35x35.JPG,http://img5.aolaigo.com//group1/M00/32/09/CggUF1oGsImAZ1PFAAI0-54hqeo682=35x35.JPG",￥166.00,￥969.00,42
17,17,[支持深圳自提] LAGOGO  雪纺碎花连衣裙,http://img5.aolaigo.com//group1/M00/45/1B/CggUFlvf9emAWvQ2AARmnS_aEMs500=220x260.JPG,"http://img3.aolaigo.com//group1/M00/45/1B/CggUFlvf9emAWvQ2AARmnS_aEMs500=35x35.JPG,http://img1.aolaigo.com//group1/M00/45/19/CggUF1vf9e6AdcMAAAiBS7-Fvho500=35x35.JPG,http://img3.aolaigo.com//group1/M00/45/1B/CggUFlvf9emAWvQ2AARmnS_aEMs500=35x35.JPG,http://img1.aolaigo.com//group1/M00/45/19/CggUF1vf9e6AdcMAAAiBS7-Fvho500=35x35.JPG,http://img3.aolaigo.com//group1/M00/45/1B/CggUFlvf9emAWvQ2AARmnS_aEMs500=35x35.JPG,http://img1.aolaigo.com//group1/M00/45/19/CggUF1vf9e6AdcMAAAiBS7-Fvho500=35x35.JPG,http://img3.aolaigo.com//group1/M00/45/1B/CggUFlvf9emAWvQ2AARmnS_aEMs500=35x35.JPG",￥207.00,￥459.00,68
18,18,[支持深圳自提] Five Plus  荷叶边雪纺连衣裙短袖高腰拼接气质短裙,http://img4.aolaigo.com//group1/M00/42/06/CggUFlup0JuAUlW6AAKm90HHwp8374=220x260.jpg,"http://img3.aolaigo.com//group1/M00/42/06/CggUFlup0JuAUlW6AAKm90HHwp8374=35x35.jpg,http://img3.aolaigo.com//group1/M00/42/06/CggUFlup0JuAU2ueAAKMt1WynYE304=35x35.jpg,http://img2.aolaigo.com//group1/M00/42/04/CggUF1up0JyAf7Z4AALD2Lugcqc721=35x35.jpg",￥199.00,￥799.00,33
19,19,[支持深圳自提] LIFE·IDEA/莱芙·艾迪儿  夏季新品短袖圆领中长刺绣雪纺连衣裙,http://img5.aolaigo.com//group1/M00/4C/BA/CggUFl0MRM6AZ4JnAACPk_GfI9k004=220x260.jpg,"http://img5.aolaigo.com//group1/M00/4C/BA/CggUFl0MRM6AZ4JnAACPk_GfI9k004=35x35.jpg,http://img2.aolaigo.com//group1/M00/4C/B8/CggUF10MRM6AMVR-AAKnOc5GQE4337=35x35.jpg,http://img1.aolaigo.com//group1/M00/4C/BA/CggUFl0MRM6AbmKpAALVGnFvwBQ266=35x35.jpg,http://img5.aolaigo.com//group1/M00/4C/BA/CggUFl0MRM6AZ4JnAACPk_GfI9k004=35x35.jpg,http://img2.aolaigo.com//group1/M00/4C/B8/CggUF10MRM6AMVR-AAKnOc5GQE4337=35x35.jpg,http://img1.aolaigo.com//group1/M00/4C/BA/CggUFl0MRM6AbmKpAALVGnFvwBQ266=35x35.jpg",￥700.00,"￥1,399.00",58
20,20,[支持深圳自提] 朵以  圆领不规则碎花连衣裙,http://img1.aolaigo.com/group1/M00/44/2C/CggUFlvP7uOAcZ99AAGtOjbRnF4750=220x260.jpg,"http://img1.aolaigo.com/group1/M00/44/2C/CggUFlvP7uOAcZ99AAGtOjbRnF4750=35x35.jpg,http://img1.aolaigo.com/group1/M00/44/2B/CggUF1vP7waAaiovAAH7TwvZG0c687=35x35.jpg,http://img1.aolaigo.com/group1/M00/44/2B/CggUF1vP7yaAXsA3AAKL6PJtWpM413=35x35.jpg",￥144.00,￥379.00,97
